  t=    10s  fill_milk        (in_progress, conf 0.80)
  t=    20s  fill_milk        (in_progress, conf 0.90)
  t=    30s  fill_milk        (complete, conf 0.85)
  t=    40s  PARSE FAIL / ReadTimeout: HTTPConnectionPool(host='saltyfish.eecs.umich.edu', port=8000): Read timed out. (read timeout=120)
  t=    50s  fill_milk        (in_progress, conf 0.95)
  t=    60s  fill_milk        (complete, conf 0.95)
  t=    70s  microwave_initial (in_progress, conf 0.85)
  t=    80s  microwave_initial (in_progress, conf 0.85)
  t=    90s  microwave_initial (in_progress, conf 0.85)
  t=   100s  microwave_initial (in_progress, conf 0.85)
  t=   110s  PARSE FAIL / ReadTimeout: HTTPConnectionPool(host='saltyfish.eecs.umich.edu', port=8000): Read timed out. (read timeout=120)
  t=   120s  PARSE FAIL / ReadTimeout: HTTPConnectionPool(host='saltyfish.eecs.umich.edu', port=8000): Read timed out. (read timeout=120)
  t=   130s  PARSE FAIL / ReadTimeout: HTTPConnectionPool(host='saltyfish.eecs.umich.edu', port=8000): Read timed out. (read timeout=120)
  t=   140s  microwave_initial (complete, conf 0.90)
  t=   150s  microwave_initial (in_progress, conf 0.85)
  t=   160s  add_chocolate    (in_progress, conf 0.95)
  t=   170s  add_chocolate    (in_progress, conf 0.85)
  t=   180s  add_cinnamon     (in_progress, conf 0.85)
  t=   190s  add_cinnamon     (in_progress, conf 0.85)
  t=   200s  other            (uncertain, conf 0.40)
  t=   210s  add_cinnamon     (in_progress, conf 0.90)
  t=   220s  add_cinnamon     (in_progress, conf 0.90)
  t=   230s  add_cinnamon     (in_progress, conf 0.85)
  t=   240s  add_sugar        (in_progress, conf 0.95)
  t=   250s  mix              (in_progress, conf 0.85)
  t=   260s  other            (uncertain, conf 0.60)
  t=   270s  add_sugar        (in_progress, conf 0.85)
  t=   280s  add_sugar        (in_progress, conf 0.90)
  t=   290s  other            (in_progress, conf 0.85)
  t=   300s  mix              (in_progress, conf 0.85)
  t=   310s  mix              (in_progress, conf 0.95)
  t=   320s  mix              (in_progress, conf 0.95)

Done: 32 calls, 0 assistant actions, parse failures 4. Wrote /home/kailaic/NeuroTrace/ProceduralAgent/replay/runs/8_3/summary.json and /home/kailaic/NeuroTrace/ProceduralAgent/replay/runs/8_3/calls.jsonl
