  t=    10s  other            (uncertain, conf 0.90)
  t=    20s  fill_milk        (in_progress, conf 0.85)
  t=    30s  fill_milk        (in_progress, conf 0.95)
  t=    40s  fill_milk        (in_progress, conf 0.85)
  t=    50s  fill_milk        (in_progress, conf 0.95)
  t=    60s  fill_milk        (in_progress, conf 0.95)
  t=    70s  microwave_initial (in_progress, conf 0.90)
  t=    80s  microwave_initial (in_progress, conf 0.85)
  t=    90s  microwave_initial (in_progress, conf 0.85)
  t=   100s  microwave_initial -> WARNING: The recipe says 1 minute - the microwave is still running.
  t=   110s  microwave_initial (in_progress, conf 0.90)
  t=   120s  microwave_initial (in_progress, conf 0.90)
  t=   130s  microwave_initial -> WARNING: The recipe says 1 minute - the microwave is still running.
  t=   140s  microwave_initial (in_progress, conf 0.85)
  t=   150s  add_chocolate    (in_progress, conf 0.85)
  t=   160s  add_chocolate    (in_progress, conf 0.95)
  t=   170s  add_chocolate    (in_progress, conf 0.90)
  t=   180s  other            (uncertain, conf 0.40)
  t=   190s  add_cinnamon     (in_progress, conf 0.95)
  t=   200s  add_cinnamon     (in_progress, conf 0.95)
  t=   210s  add_cinnamon     (in_progress, conf 0.95)
  t=   220s  add_cinnamon     (in_progress, conf 0.85)
  t=   230s  add_sugar        (in_progress, conf 0.85)
  t=   240s  add_sugar        (in_progress, conf 0.85)
  t=   250s  other            (uncertain, conf 0.60)
  t=   260s  add_sugar        (in_progress, conf 0.85)
  t=   270s  add_sugar        (in_progress, conf 0.85)
  t=   280s  add_sugar        (in_progress, conf 0.90)
  t=   290s  mix              (in_progress, conf 0.85)
  t=   300s  mix              (in_progress, conf 0.85)
  t=   310s  other            (in_progress, conf 0.95)
  t=   320s  other            (uncertain, conf 0.60)
  t=   330s  mix              (in_progress, conf 0.90)
  t=   340s  mix              (in_progress, conf 0.90)
  t=   350s  other            (in_progress, conf 0.85)
  t=   360s  mix              (in_progress, conf 0.85)
  t=   370s  mix              (in_progress, conf 0.95)
  t=   380s  mix              (in_progress, conf 0.90)
  t=   390s  heat_serve       (in_progress, conf 0.85)
  t=   400s  other            (uncertain, conf 0.60)
  t=   410s  other            (uncertain, conf 0.60)
  t=   420s  other            (uncertain, conf 0.60)
  t=   430s  other            (uncertain, conf 0.40)
  t=   440s  other            (uncertain, conf 0.40)
  t=   450s  other            (uncertain, conf 0.40)
  t=   460s  other            (uncertain, conf 0.40)

Done: 46 calls, 2 assistant actions, parse failures 0. Wrote /home/kailaic/NeuroTrace/ProceduralAgent/replay/runs/8_16/summary.json and /home/kailaic/NeuroTrace/ProceduralAgent/replay/runs/8_16/calls.jsonl
