  t=    10s  other            (uncertain, conf 0.10)
  t=    20s  fill_milk        (in_progress, conf 0.95)
  t=    30s  fill_milk        (in_progress, conf 0.95)
  t=    40s  fill_milk        (complete, conf 0.95)
  t=    50s  microwave_initial (in_progress, conf 0.90)
  t=    60s  other            (in_progress, conf 0.85)
  t=    70s  other            (in_progress, conf 0.95)
  t=    80s  other            (in_progress, conf 0.95)
  t=    90s  other            (in_progress, conf 0.95)
  t=   100s  other            (uncertain, conf 0.80)
  t=   110s  other            (in_progress, conf 0.95)
  t=   120s  other            (uncertain, conf 0.60)
  t=   130s  other            (uncertain, conf 0.60)
  t=   140s  other            (uncertain, conf 0.60)
  t=   150s  other            (uncertain, conf 0.60)
  t=   160s  other            (uncertain, conf 0.60)
  t=   170s  other            (uncertain, conf 0.40)
  t=   180s  microwave_initial (in_progress, conf 0.85)
  t=   190s  other            (in_progress, conf 0.85)
  t=   200s  add_chocolate    (in_progress, conf 0.90)
  t=   210s  add_chocolate    (in_progress, conf 0.85)
  t=   220s  other            (in_progress, conf 0.85)
  t=   230s  other            (in_progress, conf 0.85)
  t=   240s  other            (uncertain, conf 0.60)
  t=   250s  other            (in_progress, conf 0.90)
  t=   260s  other            (uncertain, conf 0.60)
  t=   270s  add_sugar        (in_progress, conf 0.85)
  t=   280s  add_sugar        (in_progress, conf 0.85)
  t=   290s  other            (uncertain, conf 0.40)
  t=   300s  other            (uncertain, conf 0.60)
  t=   310s  mix              (in_progress, conf 0.90)
  t=   320s  other            (uncertain, conf 0.40)
  t=   330s  heat_serve       (in_progress, conf 0.85)
  t=   340s  heat_serve       (in_progress, conf 0.95)
  t=   350s  heat_serve       (in_progress, conf 0.95)
  t=   360s  heat_serve       (in_progress, conf 0.95)
  t=   370s  heat_serve       (in_progress, conf 0.95)
  t=   380s  heat_serve       (in_progress, conf 0.90)
  t=   390s  other            (in_progress, conf 0.95)
  t=   400s  other            (in_progress, conf 0.95)
  t=   410s  other            (in_progress, conf 0.95)
  t=   420s  other            (in_progress, conf 0.95)
  t=   430s  other            (uncertain, conf 0.80)
  t=   440s  heat_serve       (in_progress, conf 0.85)
  t=   450s  other            (in_progress, conf 0.90)

Done: 45 calls, 0 assistant actions, parse failures 0. Wrote /home/kailaic/NeuroTrace/ProceduralAgent/replay/runs/8_26/summary.json and /home/kailaic/NeuroTrace/ProceduralAgent/replay/runs/8_26/calls.jsonl
